/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldld.asm SUCCESS CPI:8.2 CYCLES:475 ICOUNT:58 IHITRATE: 96.1 DHITRATE: 72.7
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldld_rand_large.asm SUCCESS CPI:6.1 CYCLES:6318 ICOUNT:1035 IHITRATE: 99.7 DHITRATE: 96.8
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldld_rand_large_1.asm SUCCESS CPI:6.0 CYCLES:6230 ICOUNT:1035 IHITRATE: 99.7 DHITRATE: 98.1
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldld_rand_large_2.asm SUCCESS CPI:5.9 CYCLES:6126 ICOUNT:1035 IHITRATE: 99.7 DHITRATE: 99.5
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldld_rand_large_3.asm SUCCESS CPI:6.0 CYCLES:6206 ICOUNT:1035 IHITRATE: 99.7 DHITRATE: 98.4
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldld_rand_large_4.asm SUCCESS CPI:6.1 CYCLES:6302 ICOUNT:1035 IHITRATE: 99.7 DHITRATE: 97.1
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldld_rand_large_5.asm SUCCESS CPI:6.1 CYCLES:6318 ICOUNT:1035 IHITRATE: 99.7 DHITRATE: 96.8
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldld_rand_large_6.asm SUCCESS CPI:6.1 CYCLES:6310 ICOUNT:1035 IHITRATE: 99.7 DHITRATE: 96.9
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldld_rand_large_7.asm SUCCESS CPI:6.1 CYCLES:6358 ICOUNT:1035 IHITRATE: 99.7 DHITRATE: 96.3
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldld_rand_large_8.asm SUCCESS CPI:6.0 CYCLES:6238 ICOUNT:1035 IHITRATE: 99.7 DHITRATE: 98.0
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldld_rand_large_9.asm SUCCESS CPI:6.0 CYCLES:6222 ICOUNT:1035 IHITRATE: 99.7 DHITRATE: 98.2
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldld_rand_small.asm SUCCESS CPI:6.1 CYCLES:6318 ICOUNT:1035 IHITRATE: 99.7 DHITRATE: 96.8
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldld_rand_small_1.asm SUCCESS CPI:6.0 CYCLES:6230 ICOUNT:1035 IHITRATE: 99.7 DHITRATE: 98.1
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldld_rand_small_2.asm SUCCESS CPI:5.9 CYCLES:6126 ICOUNT:1035 IHITRATE: 99.7 DHITRATE: 99.5
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldld_rand_small_3.asm SUCCESS CPI:6.0 CYCLES:6206 ICOUNT:1035 IHITRATE: 99.7 DHITRATE: 98.4
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldld_rand_small_4.asm SUCCESS CPI:6.1 CYCLES:6302 ICOUNT:1035 IHITRATE: 99.7 DHITRATE: 97.1
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldld_rand_small_5.asm SUCCESS CPI:6.1 CYCLES:6318 ICOUNT:1035 IHITRATE: 99.7 DHITRATE: 96.8
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldld_rand_small_6.asm SUCCESS CPI:6.1 CYCLES:6310 ICOUNT:1035 IHITRATE: 99.7 DHITRATE: 96.9
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldld_rand_small_7.asm SUCCESS CPI:6.1 CYCLES:6358 ICOUNT:1035 IHITRATE: 99.7 DHITRATE: 96.3
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldld_rand_small_8.asm SUCCESS CPI:6.0 CYCLES:6238 ICOUNT:1035 IHITRATE: 99.7 DHITRATE: 98.0
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldld_rand_small_9.asm SUCCESS CPI:6.0 CYCLES:6222 ICOUNT:1035 IHITRATE: 99.7 DHITRATE: 98.2
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst.asm SUCCESS CPI:7.1 CYCLES:725 ICOUNT:102 IHITRATE: 97.0 DHITRATE: 86.4
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_large.asm SUCCESS CPI:5.0 CYCLES:7066 ICOUNT:1417 IHITRATE: 99.5 DHITRATE: 91.4
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_large_1.asm SUCCESS CPI:4.7 CYCLES:6607 ICOUNT:1417 IHITRATE: 99.5 DHITRATE: 97.4
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_large_2.asm SUCCESS CPI:4.6 CYCLES:6573 ICOUNT:1417 IHITRATE: 99.5 DHITRATE: 97.9
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_large_3.asm SUCCESS CPI:4.7 CYCLES:6658 ICOUNT:1417 IHITRATE: 99.5 DHITRATE: 96.8
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_large_4.asm SUCCESS CPI:4.6 CYCLES:6573 ICOUNT:1417 IHITRATE: 99.5 DHITRATE: 97.9
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_large_5.asm SUCCESS CPI:4.9 CYCLES:6998 ICOUNT:1417 IHITRATE: 99.5 DHITRATE: 92.3
